"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C101,C102,C103,C104","4","3n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C105,C106,C108","3","10u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C107,C109","2","100n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D110,D111,D112","3","1N4148","","","","Diode_SMD:D_SOD-323_HandSoldering","~"
"J10","1","Conn_02x05_Odd_Even","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"J114","1","Conn_02x04_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","~"
"J115,J120,J127","3","Conn_01x04_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J122,J126","2","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J124","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J125","1","Conn_01x03_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"Q101,Q102,Q103,Q104","4","BC847","","","","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R101,R102,R108,R112,R116,R120,R122,R124,R128,R129,R130,R131","12","47k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R107,R111,R115,R119","4","150k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R126,R127,R132,R133,R134,R135,R136,R137,R138,R139,R142","11","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R143","1","560R","","","","Resistor_SMD:R_1206_3216Metric","~"
"R144","1","1k6","","","","Resistor_SMD:R_1206_3216Metric","~"
"R145,R146,R147,R148","4","100k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R201,R203","2","68k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R202,R204","2","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"U101","1","TL074","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U102","1","MCP6004","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
"U104","1","TL072","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U106","1","LM337_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm337-n.pdf"
"U107","1","DSP32-CORE","","","","Library:ESP32-SEED",""
