Ref,Val,Package,PosX,PosY,Rot,Side
"C101","3n","C_1206_3216Metric",172.477500,-89.700000,180.000000,top
"C102","3n","C_1206_3216Metric",172.552500,-84.800000,180.000000,top
"C103","3n","C_1206_3216Metric",158.363750,-84.730000,180.000000,top
"C104","3n","C_1206_3216Metric",158.363750,-94.430000,0.000000,top
"C105","10u","C_1206_3216Metric",160.800000,-100.800000,0.000000,top
"C106","10u","C_1206_3216Metric",178.140000,-98.100000,180.000000,top
"C107","100n","C_1206_3216Metric",164.000000,-82.400000,0.000000,top
"C108","10u","C_1206_3216Metric",174.615000,-111.500000,90.000000,top
"C109","100n","C_1206_3216Metric",162.300000,-109.100000,0.000000,top
"D110","1N4148","D_SOD-323_HandSoldering",171.305000,-114.517500,-90.000000,top
"D111","1N4148","D_SOD-323_HandSoldering",153.325000,-114.517500,90.000000,top
"D112","1N4148","D_SOD-323_HandSoldering",178.165000,-100.400000,180.000000,top
"Q101","BC847","SOT-23",174.462500,-52.500000,-90.000000,top
"Q102","BC847","SOT-23",174.400000,-48.462500,-90.000000,top
"Q103","BC847","SOT-23",149.500000,-57.100000,90.000000,top
"Q104","BC847","SOT-23",149.400000,-53.000000,90.000000,top
"R101","47k","R_1206_3216Metric",178.662500,-54.100000,180.000000,top
"R102","47k","R_1206_3216Metric",178.700000,-46.900000,180.000000,top
"R107","150k","R_1206_3216Metric",172.577500,-94.500000,0.000000,top
"R108","47k","R_1206_3216Metric",172.515000,-92.100000,180.000000,top
"R111","150k","R_1206_3216Metric",172.552500,-87.200000,0.000000,top
"R112","47k","R_1206_3216Metric",172.515000,-82.400000,180.000000,top
"R115","150k","R_1206_3216Metric",158.363750,-87.160000,180.000000,top
"R116","47k","R_1206_3216Metric",158.363750,-82.330000,180.000000,top
"R119","150k","R_1206_3216Metric",158.363750,-89.560000,180.000000,top
"R120","47k","R_1206_3216Metric",158.363750,-91.980000,0.000000,top
"R122","47k","R_1206_3216Metric",145.200000,-57.400000,180.000000,top
"R124","47k","R_1206_3216Metric",145.200000,-52.300000,180.000000,top
"R126","1k","R_1206_3216Metric",155.365000,-101.605000,180.000000,top
"R127","1k","R_1206_3216Metric",168.865000,-103.100000,0.000000,top
"R128","47k","R_1206_3216Metric",155.365000,-104.005000,0.000000,top
"R129","47k","R_1206_3216Metric",155.365000,-106.405000,180.000000,top
"R130","47k","R_1206_3216Metric",168.865000,-105.500000,0.000000,top
"R131","47k","R_1206_3216Metric",168.865000,-107.900000,0.000000,top
"R132","1k","R_1206_3216Metric",159.702500,-67.000000,180.000000,top
"R133","1k","R_1206_3216Metric",159.695000,-69.400000,180.000000,top
"R134","1k","R_1206_3216Metric",159.695000,-71.787500,180.000000,top
"R135","1k","R_1206_3216Metric",159.702500,-74.100000,180.000000,top
"R136","1k","R_1206_3216Metric",173.162500,-59.700000,0.000000,top
"R137","1k","R_1206_3216Metric",173.100000,-57.300000,0.000000,top
"R138","1k","R_1206_3216Metric",155.800000,-68.200000,-90.000000,top
"R139","1k","R_1206_3216Metric",146.900000,-95.100000,180.000000,top
"R142","1k","R_1206_3216Metric",161.400000,-52.000000,180.000000,top
"R143","560R","R_1206_3216Metric",178.415000,-110.300000,0.000000,top
"R144","1k6","R_1206_3216Metric",178.415000,-112.700000,180.000000,top
"R145","100k","R_1206_3216Metric",178.662500,-51.700000,0.000000,top
"R146","100k","R_1206_3216Metric",178.700000,-49.300000,0.000000,top
"R147","100k","R_1206_3216Metric",145.237500,-59.700000,180.000000,top
"R148","100k","R_1206_3216Metric",145.200000,-54.600000,180.000000,top
"R201","68k","R_1206_3216Metric",146.695000,-85.000000,0.000000,top
"R202","10k","R_1206_3216Metric",146.695000,-87.400000,180.000000,top
"R203","68k","R_1206_3216Metric",146.695000,-92.400000,0.000000,top
"R204","10k","R_1206_3216Metric",146.695000,-90.000000,180.000000,top
"U101","TL074","SOIC-14_3.9x8.7mm_P1.27mm",155.300000,-54.900000,0.000000,top
"U102","MCP6004","SOIC-14_3.9x8.7mm_P1.27mm",164.915000,-88.500000,180.000000,top
"U104","TL072","SOIC-8_3.9x4.9mm_P1.27mm",162.290000,-105.105000,0.000000,top
"U106","LM337_SOT223","SOT-223-3_TabPin2",176.295000,-105.187500,180.000000,top
